PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Office Max Store #1434,Office Max Store #1434,900 Oxford Exchange Blvd ,Oxford,TFP ,TC1311,,8/2/2007,1,,
Quintard Mall - Chic Fil A ,Quintard Mall,700 Quintard Avenue ,Oxford,Crumpton Sprinkler,,,9/25/1985,1,,
Quintard Mall - Chic Fil A ,Quintard Mall,700 Quintard Avenue ,Oxford,Crumpton Sprinkler,,,9/25/1985,2,,
Quintard Mall - Freidman's Jewelers,Quintard Mall,700 Quintard Avenue ,Oxford,Alabama Sprinkler,,,3/7/2001,1,,
Quintard Mall - Freidman's Jewelers,Quintard Mall,700 Quintard Avenue ,Oxford,Alabama Sprinkler,,,3/7/2001,1,,
Quintard Mall - Pearle Vision Center,Quintard Mall,700 Quintard Avenue ,Oxford,Crumpton Sprinkler,,,11/27/1984,1,,
Quintard Mall - Vision Center,Quintard Mall,700 Quintard Avenue ,Oxford,Crumpton Sprinkler,,,11/27/1984,1,,
Super Valu / Gregerson's ,Super Valu / Gregerson's ,670 Aiport Rd ,Oxford,Crumpton Sprinkler,,,9/6/1990,2,,Now Nordics 
Supermarket ,Supermarket ,,Oxford,Crumpton Sprinkler,,,4/4/1990,1,,
Walmart #0809 ,Walmart,92 Plaza Ln ,Oxford,TFP ,TC1188,,10/5/2005,4,,
Ozark Nursing Facility ,Ozark Nursing Facility ,312 Bryan Dr ,Ozark,Crumpton Sprinkler,,,1/30/1996,2,,
ALDI Food Store #32 ,ALDI Food Store #32 ,2000 Big Mountain Rd ,Pelham,TFP ,TC1517,,7/5/2011,2,,
Best Western ,Best Western,100 Bishop Circle,Pelham,Crumpton Sprinkler,,,11/14/1995,4,,
Compass Bank - Valleydale Publix Branch,Compass Bank,3080 Pelham Prkwy,Pelham,FPS ,,,11/1/2002,1,,Now BBVA Compass 
Comprehensive Distribution Systems,Comprehensive Distribution Systems,Business Center Dr,Pelham,Crumpton Sprinkler,,,6/4/1990,1,,
Covenant Classical Preschool - New Daycare Bldg ,Covenant Classical Preschool,450 Huntley Pkwy ,Pelham,TFP ,TC1539,,4/2/2012,3,,
CVS Pharamacy ,CVS Pharamacy ,100 Huntly Prkwy ,Pelham,TFP ,TC1346,,3/10/2008,2,,
Earl's Pools and Spas,Earl's Pools and Spas,Hwy 31 ,Pelham,TFP ,TC1019,,1/28/1999,1,,
Food World,FoodWorld,3060 Pelham Prkwy,Pelham,Crumpton Sprinkler,,,11/3/1994,1,,Now Mi Pueblo 
Food World,Food World,581 Pelham Rd,Pelham,Alabama Sprinkler,,,1/2/1996,2,,
Food World,Food World,581 Pelham Rd,Pelham,Alabama Sprinkler,,,3/5/1997,3,,
Food World ,Food World,581 Pelham Rd,Pelham,Alabama Sprinkler,,,12/3/1996,3,,
Healthsouth Corp ,Healthsouth Corp ,2760 Pelham Pkwy ,Pelham,FPS ,,,12/1/2001,2,,Now Thrift Store 
Heart of Dixie Harley Davidson ,Harley Davidson ,333 Cahaba Valley Prkwy N,Pelham,TFP ,TC1175,,10/5/2005,3,,
Johnstone Supply,Johnstone Supply,2200 Commerce Circ ,Pelham,Crumpton Sprinkler,,,2/5/1991,1,,
Marvin's Retrofit,Marvin's Retrofit,3150 Lee St,Pelham,TFP ,TC1608,,6/3/2013,1,,Now Warehouse 31
Moore - Handley Inc,Moore - Handley Inc,3140 Pelham Pkwy,Pelham,Crumpton Sprinkler,,,11/29/1985,1,,Now Summer Classics 
Moore - Handley Inc,Moore - Handley Inc,3140 Pelham Pkwy,Pelham,Crumpton Sprinkler,,,8/10/1981,1,,Now Summer Classics 
Moore - Handley Inc,Moore - Handley Inc,3140 Pelham Pkwy,Pelham,Crumpton Sprinkler,,,3/23/1992,2,,Now Summer Classics 
Moore Handley Inc ,Moore Handley Inc ,3140 Pelham Pkwy,Pelham,TFP ,TC1097,,12/13/2002,1,,Now Summer Classics 
Moore Handley Inc ,Moore Handley Inc ,3140 Pelham Pkwy,Pelham,TFP ,TC1147,,9/29/2004,1,,Now Summer Classics 
Nextel Retail Southgate Village ,Nextel Retail Southgate Village ,1944 Montgomery Hwy S ,Pelham,FPS ,,,11/1/2002,1,,
Orthodonics South PC,Orthodonics South PC - Dr. Boggan's Office ,2705 Pelham Pkwy ,Pelham,TFP ,TC1217,,6/23/2006,2,,
P.M.I.,P.M.I.,Valleydale Business Center,Pelham,Crumpton Sprinkler,,,7/23/1990,3,,
Pelham Police Dept ,Pelham Police Dept ,3162 Pelham Pkwy ,Pelham,FPS ,,,8/1/2005,6,,
Pelham Retail Shops ,Pelham Retail Shops ,,Pelham,FPS ,,,3/1/2004,2,,
Pump it up ,Pump it up ,2724 Chandalar Place Dr ,Pelham,FPS ,,,1/1/2002,1,,Empty BLDG
Realtysouth ,Realtysouth,3170 Hwy 31 S ,Pelham,FPS ,,,8/1/2006,1,,
Russ Drug Co,Russ Drug Co,Valleydale Business Center,Pelham,Crumpton Sprinkler,,,1/5/1988,1,,
Russ Pharmaceutical ,Russ Pharmaceutical ,Valleydale Business Center,Pelham,Crumpton Sprinkler,,,1/16/1991,1,,
Sleep Inn,Sleep Inn,200 Southgate Dr ,Pelham,Crumpton Sprinkler,,,2/24/1996,5,,
Southeastern Foods ,Southeastern Foods ,201 Parker Dr ,Pelham,TFP ,TC1080,,5/7/2002,3,,
Southgate Village - Sports Clips ,Southgate Village,1942-A Hwy 31 S ,Hoover,FPS ,,,1/1/2003,1,,
Summer Classics Showroom,Summer Classics Showroom,3140 Pelham Pkwy,Pelham,TFP ,TC1692,,10/31/2014,1,,
Valleydale Business Center ,Valleydale Business Center ,2020 Valleydale Rd ,Hoover,Crumpton Sprinkler,,,10/19/1988,1,,
Vulcan Threaded Products ,Vulcan Threaded Products ,10 Crosscreek Trail,Pelham,TFP ,TC1085,,9/9/2002,5,,
Whitby Pharmaceutical,Whitby Pharmaceutical,2020 Valleydale Rd ,Pelham,Crumpton Sprinkler,,,6/24/1992,1,,
Benjamin Moore  ,Benjamin Moore  ,109 Bamberg Dr,Pell City,Crumpton Sprinkler,,,11/15/1995,1,,
Benjamin Moore Paints,Benjamin Moore Paints,109 Bamberg Dr,Pell City,Crumpton Sprinkler,,,11/5/1985,3,,
City Electric Office/Warehouse Bldg ,City Electric Office/Warehouse Bldg ,505 Miles Pkwy Unit 3,Pell City,TFP ,TC1675,,9/12/2014,2,,
Clow Corp,Clow Corp,,Pell City,Crumpton Sprinkler,,,12/17/1979,2,,
Clow Corp,Clow Corp,,Pell City,Crumpton Sprinkler,,,6/17/1979,1,,
Dollar General Store,Dollar General Store,2208 Cogswell Avenue ,Pell City,Alabama Sprinkler,,,12/7/1998,1,,
Eissman Automotive N.A Inc - New Plant ,Eissman Automotive N.A Inc,599 Ed Garner Dr ,Pell City,TFP ,TC1777,,8/29/2016,4,,
Food World,Food World,613 Martin St N ,Pell City,Crumpton Sprinkler,,,11/30/1984,3,,Closed
Food World,Food World,613 Martin St N ,Pell City,Crumpton Sprinkler,,,3/6/1992,1,,Closed
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,7/27/1994,1,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,4/22/1993,2,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,12/22/1983,2,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,8/24/1989,2,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,2/13/1995,2,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,4/19/1996,1,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,9/4/1992,2,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,11/21/1991,1,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,11/26/1990,1,,
Ford Meter Box Co. Inc,Ford Meter Box Co. Inc,3929 Miles Prkwy,Pell City,Crumpton Sprinkler,,,8/24/1989,2,,
Furniture Store ,Furniture Store ,2122 Cogswell Ave,Pell City,TFP ,TC1683,,11/6/2014,1,,Now Pink Petal 
MillCast,MillCast,1115 Dowzer Avenue ,Pell City,Alabama Sprinkler,,,9/2/1998,1,,Now AFCO 
Superior Utility Products Inc,Superior Utility Products Inc,Miles Prkwy,Pell City,Crumpton Sprinkler,,,1/15/1984,1,,
Walgreens ,Walgreens,1649 Martin St N,Pell City,Alabama Sprinkler,,,3/8/2006,1,,
Lawtex Industries Inc,Lawtex Industries Inc,5th Avenue  ,Piedmont,Crumpton Sprinkler,,,2/14/1981,1,,
Old Piedmont High School,Old Piedmont High School,401 N Main St ,Piedmont,Crumpton Sprinkler,,,7/13/1987,2,,Now Middle School
Clay-Chalkville High School,Clay-Chalkville High School,6623 Roe Chandler Rd,Pinson,FPS ,,,9/1/2007,1,,
Food Giant,Food Giant,6662 AL-75 #113,Pinson,Crumpton Sprinkler,,,6/19/1987,3,,
KFC Industries Inc,KFC Industries Inc,Key Foods Group,Pinson,Crumpton Sprinkler,,,5/31/1983,2,,
Maxwell House,Maxwell House,140 Goodrich Dr,Pinson,Crumpton Sprinkler,,,8/8/1984,1,,Now Waste Pro 
Office Depot ,Office Depot ,2730 Legends Pkwy ,Prattville,TFP ,TC1549,,6/11/2012,2,,
Olive Garden ,Olive Garden,2767 Legends Pkwy ,Prattville,FPS ,,,11/1/2007,2,,
TWB Company,TWB CO,107 Jesse Samuel Hunt Blvd,Prattville,TFP ,TC1277,,3/22/2007,1,,Now Central Alabama Electric Co 
Walgreens ,Walgreens ,703 S Memorial Dr ,Prattville,TFP ,TC1064,,5/30/2001,1,,
Winn Dixie Food Store,Winn Dixie Food Store,701 E Main St ,Prattville,Crumpton Sprinkler,,,9/14/1990,2,,
12th St Baptist Church,12th St Baptist Church,800 West Grand Ave,Rainbow City,TFP ,TC1494,,10/25/2010,2,,
12th St Baptist Church,12th St Baptist Church,800 West Grand Ave,Rainbow City,TFP ,TC1543,,2/17/2012,1,,
"Barricks Manufacturing Co, Inc","Barricks Amnufacturing Co, Inc",400 Hickman Street,Rainbow City,Alabama Sprinkler,,,11/6/2002,1,,
Central United Methodist Church ,Central United Methodist Church ,409 W Grand Ave ,Rainbow City,FPS ,,,7/1/2001,4,,
Crown Point Apartments ,Crown Point Apartments ,207 Hollingsworth Ave,Rainbow City,FPS ,,,9/1/2007,1,,
FEDEX 24 Van City Station ,FEDEX 24 Van City Station ,108 Rainbow Industrial Blvd,Rainbow City,Alabama Sprinkler,,,11/28/2001,2,,
Golds Gym ,Golds Gym,200 Market Way,Rainbow City,Alabama Sprinkler,,,10/20/1997,1,,Closed
Gold's Gym ,Gold's Gym ,200 Market Way,Rainbow City,Alabama Sprinkler,,,4/11/2008,1,,Closed
Long Furniture ,Long Furniture ,623 W Grand Ave ,Rainbow City,TFP ,TC1317,,9/7/2007,2,,
Pas' Ghettis Italian Restaurant ,Pas' Ghettis Italian Restaurant ,110 Sutton Square #5 ,Rainbow City,Alabama Sprinkler,,,3/3/1999,1,,Closed
Rainbow City Assembly of God ,Rainbow City Assembly of God ,4545 Rainbow Dr,Rainbow City,Alabama Sprinkler,,,2/20/2006,1,,
Winn Dixie Food Store,Winn Dixie Food Store,3331 Rainbow Dr,Rainbow City,Alabama Sprinkler,,,6/29/1996,3,,
Rainsville Technology ,Rainsville Technology ,189 RTI Drive ,Rainsville ,TFP ,TC1140,,8/5/2004,1,,
Rainsville Technology Inc ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1051,,10/25/2000,5,,
Rainsville Technology Inc ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1078,,2/4/2002,1,,
Rainsville Technology Inc ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1084,,7/10/2002,1,,
Rainsville Technology Inc ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1320,,9/4/2007,1,,
Rainsville Technology Inc  ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1102,,10/6/2003,6,,
Rainsville Technology Inc - Paint Line #3 - Roof Exhaust Ducts ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1356,,3/12/2008,1,,
Rainsville Technology Inc - Paint Shop - Roof Exhaust Ducts ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1122,,11/26/2003,3,,
Rainsville Technology Inc - Warehouse Expansion ,Rainsville Technology Inc ,189 RTI Drive ,Rainsville ,TFP ,TC1557,,8/30/2012,2,,
"Harland, John Co","Harland, John Co",,Riverchase,Crumpton Sprinkler,,,2/5/1982,1,,
United Parcel Service ,United Parcel Service ,,Roebuck,Crumpton Sprinkler,,,5/22/1985,2,,
Food World,Food World,13150 Hwy 43,Russellville,Crumpton Sprinkler,,,3/27/1990,3,,
Poole Furniture Manu. Co,Poole Furniture Manu. Co,Hwy 243,Russellville,Crumpton Sprinkler,,,3/27/1985,1,,
Hampton Inn & Suites ,Hampton Inn & Suites ,24747 John T Reid Prkwy ,Scottsboro,TFP ,TC1358,,4/24/2008,3,,
Alabama Home Nursing,Alabama Home Nursing,435 Riverhills Business Park,Birmingham ,Crumpton Sprinkler,,,11/6/1987,1,,
Crossbridge Church of Christ ,Crossbridge Church of Christ ,3039 Brook Highland Pkwy ,Birmingham ,TFP ,TC1090,,9/16/2003,4,,
Dyatron,Dyatron,430 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,2/3/1988,1,,Closed
EBSCO Industries,EBSCO Industries,5724 Hwy 280 E,Birmingham ,Crumpton Sprinkler,,,7/31/1987,1,,
H & R Block,H & R Block,455 Riverhills Business Park,Birmingham ,Crumpton Sprinkler,,,2/3/1988,1,,
Hoffman Publishing,Hoffman Publishing,430 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,6/23/1987,1,,Closed
Honey Miller ,Honey Miller,200 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,3/31/1987,1,,
Just Cross Stitch,Just Cross Stitch,405 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,10/31/1988,1,,
Just Cross Stitch,Just Cross Stitch,405 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,8/24/1987,1,,
Montclair Health Center,Montclair Health Center,405 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,10/28/1988,1,,Closed
Our Lady of the Valley Catholic Church ,Our Lady of the Valley Catholic Church ,5514 Double Oak Ln ,Birmingham ,FPS ,,,9/1/2005,1,,
Riverhills Business Park - Group IV ,Riverhills Business Park - Group IV ,405 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,4/22/1988,1,,
Riverhills Office Park - Ames Taping & Tool Systems Co,Riverhills Office Park ,200 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,4/24/1986,1,,Closed
Riverhills Shopping Center ,Riverhills Shopping Center ,4637 US-280 ,Birmingham ,Crumpton Sprinkler,,,3/8/1994,1,,
Riverhills Shopping Center - Dr. John Strickland ,Riverhills Shopping Center ,4637 US-280 ,Birmingham ,Crumpton Sprinkler,,,6/18/1986,1,,Closed
Sheriff's Dept.,Sheriff's Dept,405 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,3/5/1988,1,,Closed
Telesenor ,Telesenor ,405 Riverhill Business Park,Birmingham ,Crumpton Sprinkler,,,2/29/1988,1,,Closed
Tenant Fit-Out for Penske & Shelf Space for Bailey Bros. ,Tenant Fit-Out for Penske & Shelf Space for Bailey Bros. ,4673 Hwy 280 E STE 7,Birmingham ,FPS ,,,4/1/2008,1,,
The Narrows II - Physician Offices,The Narrows II ,,Shelby County,FPS ,,,3/31/2008,1,,
The Narrows II - Physician Offices,The Narrows II ,Hwy 280,Shelby County,FPS ,,,5/22/2007,1,,
Village at Lee Branch Phase II - Shops ,Village at Lee Branch Phase II - Shops ,611 Doug Baker Blvd,Birmingham ,TFP ,TC1131,,5/7/2004,6,,
Walgreens,Walgreens,4496 Valleydale Rd,Birmingham ,Alabama Sprinkler,,,2/11/2003,1,,
Southside Baptist Church ,Southside Baptist Church ,3975 Hwy 77,Southside,Alabama Sprinkler,,,6/20/2007,4,,
Spanish Fort Town Centre ,Spanish Fort Town Centre ,26000 Bass Pro Dr,Spanish Fort,FPS ,,,1/1/2008,4,,
China Stix,China Stix,300 Springville Station Rd,Springville,FPS ,,,1/1/2007,1,,
Mexican Restaurant ,Mexican Restaurant ,300 Springville Station Rd,Springville,FPS ,,,1/1/2007,1,,
Springville Readiness Center ,Springville Readiness Center ,Highway 174,Springville,FPS ,,,11/21/2008,1,,
Springville Station ,Springville Station ,300 Springville Station Blvd ,Springville,FPS ,,,5/1/2006,2,,
Tulip Co ,Tulip Co ,Highway II,Springville,Crumpton Sprinkler,,,7/7/1987,3,,
YMA ,YMA ,990 Duncan Farms Rd,Steele,FPS ,,,10/1/2003,4,,"Now Unipress Alabama, Inc"
Rain Bird Corp ,Rain Bird Corp - Fire Pump,1105 Steele Station Rd,Steele,TFP ,TC1406,,3/25/2009,1,,
Sumiton Elementary School ,Sumiton Park & Recreation Board,275 1st St N ,Sumiton,Alabama Sprinkler,,,3/27/1996,1,,
First Gulf Bank ,First Gulf Bank ,502 W Lee Ave ,Summerdale ,FPS ,,,6/1/2006,1,,
Food Max,FoodMax,5th St & Main St,Sylacauga,Crumpton Sprinkler,,,8/29/1989,3,,
Coosa Valley P.O.B. ,Coosa Valley P.O.B. ,,Sylacauga ,TFP ,TC1047,,8/3/2000,1,,
Pear Filter - New Testing Facility ,Pear Filter,501 E 3rd St,Sylacauga ,TFP ,TC1621,,1/20/2014,2,,Closed
Belview Baptist Church ,Belview Baptist Church ,60 Bellview St,Talladega,TFP ,TC1695,,2/10/2015,1,,
FCI Talledega,FCI,565 E Renfroe Rd,Talladega,Crumpton Sprinkler,,,5/30/1995,1,,
FCI Warehouse,F.C.I. Warehouse,565 E Renfroe Rd,Talladega,Crumpton Sprinkler,,,10/26/1993,1,,
Federal Correctional Institute ,Federal Correctional Institute ,565 E Renfroe Rd,Talladega,Crumpton Sprinkler,,,6/20/1986,1,,
First National Bank of Talladega ,First National Bank of Talladega ,120 North St E ,Talladega,FPS ,,,11/1/2004,2,,
Hopkins Assembly ,Hopkins Assembly ,Industrial Access Rd ,Talladega,TFP ,TC1061,,3/16/2001,2,,
Independent Living Center ,Independent Living Center ,,Talladega,TFP ,TC1257,,1/8/2007,1,,
Industries for the Blind ,Industries for the Blind ,1209 Fort Lashley Ave,Talladega,Crumpton Sprinkler,,,9/1/1982,1,,
International Motorsports Hall of Fame,International Motorsports Hall of Fame,3198 Speedway Blvd,Talladega,Crumpton Sprinkler,,,12/13/1995,6,,
Lincoln Park Industrial Facility - Buffalo Rock,Lincoln Park Industrial Facility ,County Road 77,Talladega,TFP ,TC1198,,8/16/2006,3,,
New South Express III,New South Express III,200 Homer Rd,Talladega,TFP ,TC1151,,2/16/2005,6,,
New South Express L.L.C. ,New South Express L.L.C. ,200 Homer Rd,Talladega,TFP ,TC1052,,10/27/2000,8,,
New South Express L.L.C. ,New South Express L.L.C. ,200 Homer Rd,Talladega,TFP ,TC1104,,3/6/2003,9,,
Quality Manufacturing Co ,Quality Manufacturing Co ,Airport Industrtial Park,Talladega,Crumpton Sprinkler,,,5/6/1988,1,,
Quality Manufacturing Co ,Quality Manufacturing Co ,Airport Industrtial Park,Talladega,Crumpton Sprinkler,,,9/6/1988,1,,
Talladega County Emergency - Dispatch/Operations Center ,Talladega County Emergency ,26715 AL-21,Talladega,TFP ,TC1272,,4/23/2007,3,,
Talladega County Emergency - Dispatch/Operations Center ,Talladega County Emergency ,26715 AL-21,Talladega,TFP ,TC1368,,4/23/2007,3,,
Talladega Federal Correctional Institution ,Talladega Federal Correctional Institution ,565 E Renfroe Rd,Talladega,Crumpton Sprinkler,,,2/6/1993,4,,
Talladega Federal Correctional Institution ,Talladega FCI,565 E Renfroe Rd,Talladega,Crumpton Sprinkler,,,2/6/1993,2,,
Talladega Health Care Facility ,Talladega Health Care Facility ,,Talladega,FPS ,,,3/1/2003,4,,
Unicor Warehouse ,Unicor Warehouse ,565 E Renfroe Rd,Talladega,Crumpton Sprinkler,,,3/9/1996,1,,
Walgreens,Walgreens,503 E Battle St ,Talladega,FPS ,,,6/1/2008,1,,
Winn Dixie Food Store,Winn Dixie Food Store,100 Johnson Ave S,Talladega,Crumpton Sprinkler,,,12/20/1988,2,,Empty BLDG
Wal-Mart Stores Inc.,Wal-Mart Stores Inc. ,2190 Gilmer Ave,Tallassee,Alabama Sprinkler,,,12/21/2010,3,,
Cascade Sonoco ,Cascade Sonoco ,170 Cleage Dr,Birmingham ,TFP ,TC1301,,8/4/2007,2,,
Food Fair,FoodFair,,Tarrant,Crumpton Sprinkler,,,9/28/1990,2,,
Thompson Tractor Power Systems ,Thompson Tractor Power Systems ,2401 Pinson Valley Prkwy ,Birmingham ,FPS ,,,6/1/2005,4,,
Triana Public Library,Triana Public Library,357 Record St,Triana ,TFP ,TC1613,,8/8/2013,1,,
Accounting Insights Suite 101 ,Accounting Insights Suite 101 ,,Trussvile ,FPS ,,,3/1/2002,1,,
Aldi Food Store #35,Aldi Food Store #35 ,5960 Chalkville Mountain Rd,Birmingham ,TFP ,TC1268,,3/15/2007,1,,
Amerex Corp ,Amerex Corp ,7595 Gadsden Hwy ,Trussvile ,TFP ,TC1098,,4/10/2003,2,,
Ameriquest Mortgage Co,Ameriquest Mortgage Co,Hwy 11 Suite 205 ,Trussvile ,FPS ,,,12/1/2002,1,,
Bama Painting & Wallcovering ,Bama Painting & Wallcovering ,7630 Commerce Lane ,Trussvile ,TFP ,TC1026,,7/19/1999,1,,"Closed, moved to new location "
Baptist Health Center ,Baptist Health Center ,5890 Valley Rd,Birmingham ,FPS ,,,10/1/2002,1,,
BHC Trussville ,BHC Trussville ,5890 Valley Rd,Birmingham ,FPS ,,,1/1/2002,1,,
"Braden Furniture Co, Inc","Braden Furniture Co, Inc",106 N Chalkville Rd,Trussvile ,Crumpton Sprinkler,,,3/29/1989,1,,
Bright Office Suite 149,Bright Office Suite 149,,Trussvile ,FPS ,,,3/1/2002,1,,
Cac's Deli ,Cac's Deli ,218 Main St,Trussvile ,Alabama Sprinkler,,,1/14/1998,1,,Closed
Central Alabama - Spine & Rehab,Central Alabama ,5915 Chalkville Mt Rd ,Birmingham ,FPS ,,,11/1/2007,4,,Now Urgent Care
City of Trussville Community Center ,City of Trussville Community Center ,,Trussvile ,TFP ,TC1296,,12/7/2007,3,,
Contour Development - New Office Bldg  ,Contour Development ,1976 Gadsden Hwy ,Trussvile ,FPS ,,,9/14/2000,3,,
Court Yard Place ,Court Yard Place ,4735 Norrell Dr ,Trussvile ,FPS ,,,6/1/2003,2,,
Court Yard Place - Chiropractor's Office ,Court Yard Place,4735 Norrell Dr ,Trussvile ,FPS ,,,6/1/2003,1,,
Court Yard Place - Massey's Corral ,Court Yard Place ,4735 Norrell Dr ,Trussvile ,FPS ,,,9/1/2003,1,,
Curves ,Curves ,4735 Norrel Dr Suite 1,Trussvile ,FPS ,,,1/1/2004,1,,
Grace Presbyterian Church ,Grace Presbyterian Church ,6110 Deerfoot Pkwy ,Trussvile ,TFP ,TC1145,TI-2004,8/2/2004,2,,
Heritage Bank,Heritage Bank ,285 Calumet Pl,Trussvile ,FPS ,,,8/1/2001,4,,
Hudd's Grocery Store,Hudd's Grocery Store,218 Main St,Trussvile ,Alabama Sprinkler,,,1/15/1997,1,,Now Dollar General 
Metro Mini Storage ,Metro Mini Storage ,1930 Hwy 11 ,Trussvile ,TFP ,TC1075,,10/16/2001,1,,
New High School - Field House ,New High School - Field House ,5471 Trussville Clay Rd ,Trussvile ,TFP ,TC1337,,2/12/2008,2,,
Office Space for RCM ,Office Space for RCM ,,Trussvile ,FPS ,,,1/1/2002,1,,
Paul Jones ,Paul Jones ,7101 Gadsden Hwy,Trussvile ,TFP ,TC1037,,11/10/1999,1,,
Ridgecrest Baptist Church - Nursery & Office Fit-Out ,Ridgecrest Baptist Church ,7769 Gadsden Hwy,Trussvile ,TFP ,TC1522,,9/30/2011,2,,
Sam's Club Store #4817 ,Sam's Club ,5940 Trussville Crossings Prkwy ,Trussvile ,TFP ,TC1118,,10/9/2003,4,,
Smith Brothers Motor Sports ,Smith Brothers Motor Sports ,Morrow Rd,Trussvile ,FPS ,,,8/31/2000,1,,
Sports Clips ,Sports Clips ,1616 Gadsden Hwy Suite 106 ,Trussvile ,FPS ,,,3/1/2003,1,,
System Controls ,System Controls ,7015 Haisten Dr,Trussvile ,TFP ,TC1596,,3/6/2012,2,,
The First Baptist Church ,The First Baptist Church ,128 N Chalkville Rd ,Trussvile ,FPS ,,,4/1/2002,9,,
Trussville Office Bldg - Dr. Kevin Waldrop ,Trussville Office Bldg,,Trussvile ,FPS ,,,1/1/2002,1,,
Trussville POB,Trussville POB,1976 Gadsden Hwy ,Trussvile ,FPS ,,,1/1/2003,1,,
Trussville POB,Trussville POB,1976 Gadsden Hwy ,Trussvile ,FPS ,,,3/1/2003,1,,
14th Avenue Apartments ,14th Avenue Apartments ,132 14th Ave NE,Tuscaloosa,TFP ,TC1166,,6/27/2005,1,,
8th Street Apartments ,8th Street Apartments ,8th St & 13th Ave ,Tuscaloosa,TFP ,TC1132,,7/7/2004,2,,
AB Theatre Conversion,University of Alabama,115 Roward-Johnson Hall ,Tuscaloosa,Crumpton Sprinkler,,,5/31/1991,1,,
Abington Court Condominiums ,Abington Court Condominiums ,704 13th St,Tuscaloosa,TFP ,TC1305,,7/20/2007,2,,
Alabama Aircraft Painting,Alabama Aircraft Painting,7601 R Cardinal Airport Rd,Tuscaloosa,Alabama Sprinkler,,,11/21/1995,1,,
ALDI Inc ,ALDI Inc ,1349 McFarland Blvd E,Tuscaloosa,TFP ,TC1704,,6/18/2015,2,,
Ashley Furniture Homestore ,Ashley Furniture Homestore ,70 Skyland Blvd,Tuscaloosa,TFP ,TC1259,,3/2/2007,2,,
Branscomb Apartments ,Branscomb Apartments ,570 60th St ,Tuscaloosa,TFP ,TC1242,,9/6/2006,4,,
Capital Market Center ,Capital Market Center ,1101 Southview Ln ,Tuscaloosa,TFP ,TC1371,,6/24/2008,2,,
Capstone Quarters ,Capstone Quarters ,301 Helen Keller Blvd ,Tuscaloosa,TFP ,TC1161,,10/19/2005,5,,
Central Park ,Central Park ,510 12th St,Tuscaloosa,TFP ,TC1619,,2/21/2014,5,,
CVS Store #7217 ,CVS,4715 Rice Mine Rd NE,Tuscaloosa,TFP ,TC1146,,9/9/2004,2,,
D.C.H. Regional Medical Center,D.C.H. Regional Medical Center,809 University Blvd E,Tuscaloosa,Crumpton Sprinkler,,,10/6/1991,1,,
Elk Corp of Alabama ,Elk Corp of Alabama ,4602 Stillman Blvd ,Tuscaloosa,TFP ,TC1196,,11/7/2005,1,,
Elk Roofing Front End,Elk Roofing,4602 Stillman Blvd,Tuscaloosa,TFP ,TC1248,,11/19/2006,1,,
Energy & Mineral Research Complex ,Energy & Mineral Research Complex ,245 7th Avenue,Tuscaloosa,Crumpton Sprinkler,,,4/15/1988,14,,
